Date,Day,City,Country,Region,Night,Lover Bodysuit,The Man Jacket,Lover Mic #1,Lover Guitar,Lover Mic #2,Fearless Dress,Fearless Mic,Red Shirt,Red Mic #1,Red Romper,WANEGBT Chant (Kam),Red Guitar,Red Mic #2,Speak Now Gown,Koi Fish Guitar,Speak Now Mic,Reputation Jumpsuit,Reputation Mic,Folklore Dress,Evermore Dress,Standing Ovation,Indie Sister Cloak,Indie Sister Mic,1989 Top,1989 Skirt,Left 1989 Boot,Right 1989 Boot,1989 Match,1989 Mic,TTPD Dress,TTPD Gloves,TTPD Choker,TTPD Mic #1,Broken Heart Set,Broken Heart Jacket,TTPD Mic #2,Surprise Song Dress,Midnights Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Midnights Mic,,Resources
7/15/2023,Saturday,Denver,USA,West,2,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,86,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Swirls,Multicolor,Navy Sparkles,,
7/22/2023,Saturday,Seattle,USA,West,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Cream,Bronze,100,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Swirls,Magenta,Navy Sparkles,,
7/23/2023,Sunday,Seattle,USA,West,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,Yes,Purple Metallic,Red & Black,Snake,Green,Orange,87,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Silver,Lines,Blue,Navy Sparkles,,
7/28/2023,Friday,Santa Clara,USA,West,1,Pink & Blue,Black,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Pink,Orange,241,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Iridescent,Swirls,Magenta,Navy Sparkles,,
7/29/2023,Saturday,Santa Clara,USA,West,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Bronze,186,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Orchid,Lines,Blue,Navy Sparkles,,
8/3/2023,Thursday,Los Angeles,USA,West,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,122,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Swirls,Blue,Navy Sparkles,,
8/4/2023,Friday,Los Angeles,USA,West,2,Pink & Blue,Silver,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,124,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Swirls,Blue,Navy Sparkles,,
8/5/2023,Saturday,Los Angeles,USA,West,3,Pink & Blue,Silver,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Cream,Orange,118,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Swirls,Blue,Navy Sparkles,,
8/7/2023,Monday,Los Angeles,USA,West,4,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,Yes,Purple Metallic,Red & Black,Snake,Purple,Bronze,61,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Orchid,Lines,Magenta,Navy Sparkles,,
8/8/2023,Tuesday,Los Angeles,USA,West,5,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Green,Orange,463,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Silver,Cutout,Blue,Navy Sparkles,,
